Context,Epsilon,Delta,Aproximation_type,Distribution_type,Threads,Total_execution_time,Total_time,Total_exec_time_2,Total_closure_time,Updown_time,Total_closure_computations,Total_up_down_computes,Basis_size,Total_counter_examples,Sum_total_tries,Equal_to_count,Empty_set_closure_computes,Support_avg,Support_p10,Support_p50,Support_p90,Support_p95
StandardDS/mushroom.txt,0.1,0.1,strong,area-based,8,44.609776,0.837337,43.713036,0.402525,43.733960,36989,547355,575,1835,36945,36561,1,11.728726,25.012309,8.124077,1.132447,0.443131
StandardDS/connect.txt,0.1,0.1,weak,uniform,8,0.109218,0.022189,0.024150,0.000000,0.023037,126,825,6,38,596,36,1,32.412536,100.000000,2.326225,0.000000,0.000000
StandardDS/connect.txt,0.1,0.1,weak,frequent,8,0.134564,0.031741,0.035779,0.000000,0.042944,126,1473,10,46,1192,95,1,92.232069,99.986153,97.535309,60.5095546,0.509554
StandardDS/connect.txt,0.1,0.1,weak,area-based,8,0.124155,0.028110,0.030273,0.000000,0.034570,126,1008,10,42,780,81,1,86.146497,99.986153,99.612296,0.027693,0.027693
StandardDS/nom10shuttle.txt,0.1,0.1,weak,uniform,8,0.198912,0.027810,0.010462,0.000000,0.003103,76,3041,76,76,29,-2,2835,0.591863,0.501149,0.004598,0.000000,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,weak,frequent,8,2.991711,0.926621,1.869594,0.000000,2.722535,76,25968,153,251,3558,149,18402,5.920261,14.811494,0.714943,0.002299,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,weak,area-based,8,1.863197,0.534103,1.137502,0.000000,1.604994,76,18558,140,205,2110,133,13978,6.066667,17.068966,0.411494,0.000000,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,strong,uniform,8,0.199922,0.027884,0.010105,0.000080,0.003053,105,3046,76,76,29,6,2835,0.591863,0.501149,0.004598,0.000000,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,strong,frequent,8,7.499719,1.476900,5.818987,0.021594,7.182649,3185,50804,212,390,5488,635,32402,4.809195,11.101149,1.259770,0.002299,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,strong,area-based,8,5.239015,1.014608,4.024801,0.014158,4.939503,2379,38891,185,340,3799,483,26474,5.233364,12.002299,1.388506,0.002299,0.000000
StandardDS/inter10shuttle.txt,0.1,0.1,weak,uniform,8,1.173657,0.279035,0.288888,0.000000,0.013084,171,14859,171,171,29,32,14436,43.872743,99.990805,5.836782,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,weak,frequent,8,1.213075,0.279715,0.289216,0.000000,0.043402,171,14861,171,171,29,8,14434,43.872743,99.990805,5.836782,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,weak,area-based,8,1.240667,0.279029,0.287860,0.000000,0.040558,171,14848,171,171,29,12,14435,43.872743,99.990805,5.836782,0.004598,0.002299
